SW Version,2022.2
Date and Time Started,2026-Feb-24 15:00:44
Date and Time Ended,2026-Feb-24 15:00:46
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,4992
Horizontal Opening,41
Horizontal Percentage,66.67
Vertical Opening,145
Vertical Percentage,61.29
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.50365,0.50365,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.50365,0.50365,0.50365,0.50365,0.50365,0.50365,0.50365,0.501123,0.502956
104,0.447335,0.50365,0.496871,0.50365,0.497901,0.50365,0.396021,0.503187,0.503496
96,0.371905,0.296885,0.46287,0.306424,0.196442,0.216419,0.320593,0.310323,0.325473
88,0.251841,0.251831,0.232909,0.245449,0.0384136,0.174561,0.251965,0.251922,0.252135
80,0.251825,0.251825,0.246224,0.0377473,9.53689e-06,0.0097013,0.134867,0.250581,0.251903
72,0.251825,0.224312,0.184627,0.00144579,3.81476e-07,5.72213e-06,0.0399833,0.240076,0.251903
64,0.251825,0.226295,0.0299511,2.28885e-06,3.81476e-07,3.81476e-07,0.00631342,0.220455,0.251903
56,0.251825,0.144147,0.000603304,3.81476e-07,3.81476e-07,3.81476e-07,0.000105669,0.13533,0.251903
48,0.251748,0.0543014,3.24254e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0528794,0.251922
40,0.247414,0.0135159,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0151074,0.25377
32,0.243808,0.000854887,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00204795,0.256188
24,0.219737,3.28069e-05,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000112726,0.268897
16,0.209712,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.0518e-06,0.280502
8,0.195292,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.23896
0,0.198229,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,1.33516e-06,0.203969
-8,0.221498,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,6.96193e-05,0.182803
-16,0.243808,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00135309,0.189407
-24,0.250979,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00866293,0.221522
-32,0.252062,3.62402e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0248308,0.241077
-40,0.251845,0.00109197,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,4.19623e-06,0.0434961,0.251594
-48,0.251826,0.0493875,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00062562,0.0617596,0.251864
-56,0.251825,0.202419,0.000123598,3.81476e-07,3.81476e-07,3.81476e-07,0.00736687,0.097451,0.251903
-64,0.251825,0.209618,0.0162846,1.71664e-06,3.81476e-07,2.09812e-06,0.0287749,0.149654,0.251903
-72,0.251825,0.251825,0.197538,0.00395857,3.81476e-07,0.000918975,0.0677894,0.207759,0.251903
-80,0.251825,0.251825,0.245266,0.214785,0.00357519,0.0204867,0.115894,0.251864,0.251903
-88,0.265551,0.258403,0.264166,0.212471,0.140054,0.155253,0.252256,0.252526,0.252623
-96,0.401367,0.295993,0.421394,0.376379,0.49498,0.419125,0.363915,0.270723,0.465385
-104,0.495849,0.495776,0.486281,0.495776,0.495414,0.489511,0.495486,0.495776,0.4724
-112,0.495849,0.495776,0.495849,0.495849,0.495776,0.495849,0.495849,0.495776,0.495922
-120,0.495776,0.495776,0.495776,0.495849,0.495776,0.495776,0.495776,0.495776,0.495776
Scan End
