SW Version,2022.2
Date and Time Started,2026-Feb-25 16:09:06
Date and Time Ended,2026-Feb-25 16:09:07
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,3712
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.503728,0.494908,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.386516,0.502956,0.503728,0.50365,0.503728,0.50365,0.503418,0.50365,0.50365
104,0.386074,0.37768,0.393971,0.378576,0.339676,0.50365,0.482335,0.503187,0.503573
96,0.300246,0.354519,0.309479,0.318465,0.388814,0.3475,0.339031,0.330402,0.31744
88,0.252061,0.249845,0.250878,0.199406,0.169028,0.16585,0.264923,0.268905,0.280573
80,0.251825,0.251671,0.122798,0.121794,0.00408579,0.0644835,0.22658,0.252761,0.25235
72,0.251825,0.168766,0.125816,0.0106044,3.81476e-07,0.029387,0.138384,0.251709,0.251903
64,0.251827,0.176435,0.0717958,2.46052e-05,3.81476e-07,0.00364767,0.119636,0.211168,0.251903
56,0.251875,0.125758,0.00574826,3.81476e-07,3.81476e-07,5.34066e-05,0.079233,0.162847,0.251922
48,0.252352,0.123577,5.0927e-05,3.81476e-07,3.81476e-07,3.81476e-07,0.0527319,0.139611,0.252019
40,0.251427,0.0858419,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0258584,0.12059,0.276178
32,0.211464,0.0419625,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00694209,0.0973975,0.292622
24,0.244026,0.0146868,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000622759,0.069258,0.287527
16,0.24245,0.00166133,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,2.6894e-05,0.0421043,0.293543
8,0.258541,7.8584e-05,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,5.72213e-07,0.023193,0.252644
0,0.252924,1.71664e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0193359,0.24728
-8,0.258391,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,9.53689e-07,0.0413458,0.243203
-16,0.263142,8.39246e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000119974,0.0600904,0.244078
-24,0.293007,0.00059472,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0021006,0.0728561,0.242659
-32,0.258978,0.00967708,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0147742,0.0938361,0.249046
-40,0.280213,0.039078,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0379695,0.111864,0.251594
-48,0.258972,0.121433,7.62951e-07,3.81476e-07,3.81476e-07,5.34066e-06,0.0627155,0.124467,0.250599
-56,0.252406,0.121577,0.0011677,3.81476e-07,3.81476e-07,0.0011574,0.0830568,0.163226,0.251883
-64,0.251849,0.205465,0.0307944,1.35424e-05,3.81476e-07,0.00852903,0.104445,0.207539,0.251903
-72,0.251825,0.200144,0.0732728,0.0095634,0.000472457,0.02878,0.136323,0.246598,0.251903
-80,0.251825,0.251825,0.233668,0.0643432,0.0296245,0.064601,0.224476,0.251922,0.252019
-88,0.25798,0.263688,0.26839,0.266436,0.0854249,0.238665,0.289302,0.259413,0.325693
-96,0.288616,0.323239,0.334966,0.246297,0.372312,0.457879,0.422453,0.330285,0.3893
-104,0.385898,0.37,0.475098,0.399533,0.491787,0.483468,0.464176,0.424372,0.495631
-112,0.495631,0.495776,0.495269,0.495776,0.495704,0.495776,0.495776,0.495776,0.495922
-120,0.495704,0.495776,0.495849,0.495776,0.495776,0.495776,0.495776,0.495776,0.495849
Scan End
